ITEM_20150317_000001	Empty_helmet 	Empty_Helmet
ITEM_20150317_000002	Murmillo Helmet 	Murmillo Helmet
ITEM_20150317_000003	Empty_armband 	Empty_Armband
ITEM_20150317_000004	Red Armband 	Red Armband
ITEM_20150317_000005	Armband 	Armband
ITEM_20150317_000006	Knotted Armband 	Knotted Armband
ITEM_20150317_000007	Long Armband 	Long Armband
ITEM_20150317_000008	Feather Armband 	Feather Armband
ITEM_20150317_000009	Tasseled Armband 	Tasseled Armband
ITEM_20150317_000010	Empty_weapon 	Empty_Weapon
ITEM_20150317_000011	Crude Gladius	Crude Gladius
ITEM_20150317_000012	One-handed Sword [Slash] 	One-Handed Sword [Slash]
ITEM_20150317_000013	A standard weapon for the soldiers from the Royal Army. Also commonly carried by civilians.	Senjata yang biasa digunakan oleh prajurit kerajaan.
ITEM_20150317_000014	Gladius 	Gladius
ITEM_20150317_000015	This weapon is an improved version of its military counterpart.	Senjata ini telah ditingkatkan untuk keperluan militer.
ITEM_20150317_000016	Low Falchion	Low Falchion
ITEM_20150317_000017	This sword is exceptional for slashing. 	Pedang ini bagus untuk membelah dan memotong.
ITEM_20150317_000018	Low Kaskara	Low Kaskara
ITEM_20150317_000019	Due to its ease in manufacturing, this sword is frequently chosen by adventurers as their first replacement for their training sword. 	Karena mudah dibuat, Senjata ini sering dipilih oleh prajurit untuk berlatih.
ITEM_20150317_000020	Cinquedea 	Cinquedea
ITEM_20150317_000021	Recommended for those who desire a heavier and stronger sword. 	Sangat direkomendasikan untuk yang menginginkan pedang yang keras dan kaut.
ITEM_20150317_000022	Sabre 	Sabre
ITEM_20150317_000023	Primary weapon of the cavalry, optimized for slashing. The guard on the hilt helps protect the user's hand. 	Senjata utama yang dikhususkan untuk membelah. Hilt nya dapat melindungi tanganmu.
ITEM_20150317_000024	Shamshir 	Shamshir
ITEM_20150317_000025	The blade's large crescent edge cuts with immense power.	Ujungnya yang melengkung memungkinkan untuk menghasilkan tebasan kuat.
ITEM_20150317_000026	Scimitar 	Scimitar
